S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,1,0.9079344272613525,0.8035252094268799,1,0,0.48068001866340637,0.5134531855583191,0,0,0.2411668598651886,0.5902659893035889
0,1,0.9775906205177307,0.825803816318512,0,1,0.02019103430211544,0.5195893049240112,0,1,0.9075167179107666,0.80339115858078
0,1,0.46904996037483215,0.6631519198417664,0,1,0.7196370363235474,0.7432998418807983,1,1,0.4857351779937744,0.5179813504219055
0,0,0.46151429414749146,0.6607418060302734,0,1,0.9382972121238708,0.8132361173629761,0,1,0.49133235216140747,0.6702786684036255
0,1,0.8043511509895325,0.7703948020935059,0,1,0.9308879375457764,0.8108662366867065,0,1,0.20246519148349762,0.5778877139091492
0,1,0.9785681366920471,0.8261162042617798,1,1,0.7431184649467468,0.7485331296920776,0,1,0.06031172722578049,0.5324212312698364
0,1,0.004402075428515673,0.5145391821861267,0,0,0.7801847457885742,0.7626655101776123,0,0,0.18347305059432983,0.5718133449554443
0,1,0.9975603818893433,0.832190752029419,1,1,0.5357210636138916,0.5627562999725342,1,1,0.1561124473810196,0.22272080183029175
0,0,0.14572261273860931,0.5597390532493591,0,1,0.1502659171819687,0.5611923933029175,1,0,0.23516950011253357,0.29353636503219604
1,0,0.5516665577888489,0.5770395994186401,1,0,0.989741861820221,0.9694467186927795,0,1,0.9086694121360779,0.8037599325180054
1,0,0.10834445059299469,0.17993246018886566,0,1,0.17352119088172913,0.568630039691925,0,1,0.3824803829193115,0.6354637742042542
1,1,0.7578474283218384,0.7617266178131104,1,0,0.5625836849212646,0.5868185758590698,1,1,0.7874979972839355,0.7882862091064453
1,1,0.48369017243385315,0.5161494612693787,1,1,0.22505074739456177,0.2844724655151367,0,1,0.948093593120575,0.8163691759109497
1,0,0.4736648201942444,0.507169246673584,0,1,0.9723780751228333,0.8241365551948547,0,0,0.8194040060043335,0.7752095460891724
0,1,0.9950657486915588,0.8313932418823242,0,1,0.5387288331985474,0.6854378581047058,0,1,0.28370043635368347,0.6038700938224792
