iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.00018375,0.00018375,1239,0.48746790815758195,0.48746790815758195,-0.01607743872882239,-0.00029889563024210197,-0.008707191942939674,-11.393177,-11.554424,-11.833754,false,,0.6997533908754624,0.6997533908754624,0.31011097410604194,1.0,1.0,0.0,0.0
1,0.950507375,0.9506911250000001,1239,0.4875700053192248,0.487467856497869,-0.016077628150869105,-0.0002990782570486683,-0.008707299266779267,-11.393278,-11.550093,-11.830951,false,,0.6996913687484648,0.6997533250411881,0.31011098000351434,0.9969879508143948,0.9987593048182245,0.005747126279284378,0.0031645570479794244
2,0.035026333,0.9857174580000001,1239,0.4880880158504709,0.4879480800450722,-0.015908486973823632,-0.0005780599885067961,-0.009114077639958196,-11.39329,-11.547252,-11.829192,false,,0.6996510738810535,0.6998154201382232,0.31011090822454784,0.993894318697453,0.9976187875897975,0.010118891466962477,0.006607508570466794
3,0.034801666,1.020519124,1239,0.48856301579354355,0.48843890118417355,-0.015580583920975832,-0.0006672714237569988,-0.009317978891351886,-11.393263,-11.544986,-11.827437,false,,0.6996279430515334,0.6999003924754097,0.3101110581826019,0.9907315090183558,0.996565630800125,0.013489374399092454,0.010346862197067559
4,0.034769209,1.055288333,1239,0.4890071130373445,0.4889444597432121,-0.015122028665043752,-0.0005995021321332228,-0.009357700360909438,-11.393209,-11.543117,-11.825705,false,,0.6996186081576993,0.6999777215163521,0.31011105163457525,0.987525408823437,0.9955860734922065,0.016134418859342123,0.014393141820488913
5,0.03496525,1.090253583,1239,0.48942971163514126,0.48946796307249374,-0.014558251823996171,-0.0004026731990477428,-0.00926413162360118,-11.39314,-11.54155,-11.824008,false,,0.6996200255471209,0.7000225127659693,0.31011104428223146,0.9843130563174659,0.9946664136406391,0.018256247525808726,0.01875025609809377
6,0.034547084,1.124800667,1239,0.48983790846498465,0.4900114505073284,-0.013912605479355356,-0.00010041523462045454,-0.009061800449022273,-11.393053,-11.540231,-11.822357,false,,0.6996297618642634,0.7000142917524025,0.310111026153166,0.9811396406258432,0.993793587591807,0.02000224426975063,0.02341651232567812
7,0.034502333,1.159303,1239,0.4902370673219412,0.4905759898548466,-0.013205129964481643,0.0002878255828473453,-0.008769768083261131,-11.392957,-11.539123,-11.820765,false,,0.6996461138516256,0.6999362087304253,0.3101109042633917,0.9780547799788181,0.9929555290322033,0.0214791992799695,0.02838599084087672
8,0.035547708,1.194850708,1239,0.49063124855357826,0.4911619589511925,-0.01245731100735692,0.0007416810361722259,-0.008407129152190107,-11.392855,-11.538195,-11.819235,false,,0.6996672021621109,0.6997737286152538,0.3101110635350457,0.9751084133314796,0.992141271680567,0.022763966160658747,0.03364989449133527
9,0.035176166,1.230026874,1239,0.49102295583215266,0.49176899759887915,-0.011685317112342664,0.0012443724015555047,-0.0079874938708685,-11.392747,-11.537421,-11.817765,false,,0.6996918546646572,0.6995153132876117,0.3101109542085061,0.9723467290279693,0.9913410268128862,0.023911471522515552,0.039198306384476404
