S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,1,0.9971035718917847,0.8968135714530945,0,0,0.12164539098739624,0.4223148822784424,0,0,0.06423678994178772,0.39119938015937805
0,0,0.41642850637435913,0.5820873975753784,0,0,0.5448711514472961,0.6517033576965332,0,0,0.24337872862815857,0.48829442262649536
1,1,0.9900863170623779,0.7556585669517517,0,0,0.026515599340200424,0.3707544803619385,1,0,0.8521775603294373,0.6609356999397278
0,0,0.09822095930576324,0.4096187949180603,0,1,0.8940600156784058,0.8409638404846191,0,1,0.5782989859580994,0.6698213219642639
0,1,0.9744028449058533,0.8845096826553345,0,0,0.044563405215740204,0.38053637742996216,0,0,0.8833354711532593,0.8351511359214783
0,0,0.5657154321670532,0.6630009412765503,1,0,0.04350673407316208,0.10549885779619217,0,1,0.9166819453239441,0.8532252311706543
0,0,0.05212947353720665,0.3846372365951538,0,0,0.10464135557413101,0.4130987226963043,1,0,0.16953045129776,0.19205841422080994
0,1,0.2744087278842926,0.5051127076148987,0,1,0.9853652119636536,0.8904512524604797,0,1,0.8840476274490356,0.8355371952056885
0,0,0.08736936002969742,0.40373730659484863,0,0,0.030866079032421112,0.37311244010925293,0,0,0.10506092756986618,0.4133261442184448
0,1,0.9442430734634399,0.8681631088256836,1,1,0.9159889221191406,0.7047646045684814,0,1,0.9913926124572754,0.8937181830406189
1,1,0.992307722568512,0.7571843266487122,0,1,0.8870482444763184,0.8371635675430298,0,1,0.9335137605667114,0.8623478412628174
0,1,0.7281290292739868,0.7510292530059814,0,0,0.3022240698337555,0.5201886296272278,1,0,0.008195295929908752,0.0812450721859932
0,1,0.9488232731819153,0.8706455230712891,1,0,0.010446038097143173,0.08279101550579071,0,0,0.10161076486110687,0.41145604848861694
0,1,0.9087605476379395,0.848931610584259,0,0,0.1243152990937233,0.4237620234489441,0,0,0.14508989453315735,0.43502187728881836
0,1,0.6716595888137817,0.720422625541687,1,0,0.008848113939166069,0.08169348537921906,1,1,0.4139109253883362,0.35991156101226807
1,1,0.9981276392936707,0.7611818313598633,0,0,0.5701260566711426,0.6653915643692017,0,0,0.10161076486110687,0.41145604848861694
0,0,0.12542277574539185,0.42436209321022034,1,1,0.9505150318145752,0.7284789085388184,0,0,0.23848797380924225,0.4856437146663666
0,1,0.9540837407112122,0.8734967708587646,0,1,0.9369704127311707,0.8642213344573975,0,0,0.7689929604530334,0.7731773853302002
0,0,0.044563405215740204,0.38053637742996216,0,1,0.8936086297035217,0.8407192826271057,1,0,0.10527124255895615,0.1479218602180481
0,1,0.9345747232437134,0.8629228472709656,1,0,0.053398117423057556,0.11229272186756134,0,0,0.06423678994178772,0.39119938015937805
1,1,0.9979863166809082,0.7610846757888794,0,0,0.14508989453315735,0.43502187728881836,0,1,0.8079531788825989,0.7942938804626465
1,1,0.9954279661178589,0.7593275308609009,0,0,0.5272328853607178,0.6421433687210083,1,1,0.8965672254562378,0.6914248466491699
0,1,0.8798190951347351,0.8332452774047852,0,0,0.04916781559586525,0.383031964302063,0,0,0.5811737179756165,0.6713793277740479
0,1,0.6781901121139526,0.7239623069763184,1,1,0.9256922602653503,0.7114293575286865,0,1,0.8683325052261353,0.8270195722579956
0,0,0.07379917800426483,0.3963821530342102,0,1,0.8630940318107605,0.8241802453994751,1,1,0.9959601759910583,0.7596930265426636
0,0,0.2011391520500183,0.4654005765914917,0,0,0.0526428259909153,0.3849155008792877,0,0,0.046298302710056305,0.3814767599105835
0,1,0.9462478756904602,0.869249701499939,0,1,0.9710021018981934,0.8826664686203003,1,1,0.5502055883407593,0.4535258114337921
1,0,0.981850802898407,0.7500020265579224,0,0,0.7066980600357056,0.7394136786460876,0,0,0.023260032758116722,0.3689900040626526
0,1,0.991292417049408,0.893663763999939,0,1,0.45539823174476624,0.6032090783119202,0,1,0.23066556453704834,0.4814039170742035
0,0,0.06200776621699333,0.3899913430213928,0,1,0.760511040687561,0.7685801982879639,1,0,0.9159889221191406,0.7047646045684814
1,1,0.9990338087081909,0.7618041634559631,0,1,0.9432076215744019,0.8676018714904785,0,1,0.993658185005188,0.8949461579322815
