iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.040616334,0.040616334,309,0.5845682064866177,0.5845682064866177,-0.059905385032372305,-0.050785601290342486,-0.026218034739494134,-7.685713384052466,-7.669997930946661,-7.718902645895713,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
1,3.517324708,3.557941042,313,0.5833505787491005,0.5833505787491005,-0.06106383896653644,-0.051297259378005555,-0.026666532543785593,-7.680559962964121,-7.670559939029544,-7.718292549806051,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
2,0.427205792,3.985146834,321,0.5817726683167714,0.5817726683167714,-0.06216392870728116,-0.05243638414873897,-0.02872297056079942,-7.674691554790452,-7.668474873116682,-7.711898667392848,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
3,0.175773583,4.160920417,323,0.5817726694778781,0.5817726694778781,-0.06216393463725467,-0.052436393969958806,-0.028722974974339843,-7.674691554790452,-7.668474873116682,-7.711898667392848,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
4,0.092965916,4.253886333,325,0.5817726696061226,0.5817726696061226,-0.06216392130532844,-0.05243637369857401,-0.028722961078242237,-7.674691554790452,-7.668474873116682,-7.711898667392848,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
5,0.266094417,4.519980749999999,327,0.5817714870146762,0.5817714870146762,-0.06216714349941066,-0.052439960209713754,-0.028724724768319554,-7.67469155282278,-7.668472807920335,-7.711902078807182,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
6,0.00657975,4.5265604999999995,331,0.5802542303731449,0.5802542303731449,-0.06198411149030991,-0.053824986397773,-0.0284399122978094,-7.6727880926346925,-7.669556006251777,-7.708836210607321,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
7,0.006693542,4.533254041999999,339,0.5795233685114526,0.5795233685114526,-0.06134251286700554,-0.05370867925450595,-0.027498485938408312,-7.672115603835834,-7.66990707200047,-7.707673219191627,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
8,0.007185708,4.540439749999999,341,0.579523373183595,0.579523373183595,-0.06134251242278321,-0.053708678940033394,-0.027498487183813314,-7.672115603835834,-7.66990707200047,-7.707673219191627,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
9,0.00720375,4.5476434999999995,343,0.5795233761447018,0.5795233761447018,-0.06134250094923077,-0.05370866773997229,-0.027498476040716202,-7.672115603835834,-7.66990707200047,-7.707673219191627,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
10,0.007791875,4.555435374999999,345,0.5795243842134505,0.5795243842134505,-0.061348373738945305,-0.05371339435927469,-0.027507359011819776,-7.672115589635111,-7.669903436512981,-7.707677159872232,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
11,0.108599334,4.664034708999999,348,0.5789991237525168,0.5789991237525168,-0.060695453671256394,-0.05192585232035096,-0.026562161325834888,-7.668976000332109,-7.664921269041277,-7.703864838052188,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
12,0.023511792,4.687546500999999,350,0.5789991230131124,0.5789991230131124,-0.06069545283012545,-0.05192585135274308,-0.026562163073771683,-7.668976000332109,-7.664921269041277,-7.703864838052188,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
13,0.080017167,4.767563667999999,352,0.5789991255734539,0.5789991255734539,-0.06069545100592266,-0.051925851691405844,-0.02656215874762813,-7.668976000332109,-7.664921269041277,-7.703864838052188,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
14,0.007659667,4.775223335,354,0.5790007683265124,0.5790007683265124,-0.06069395703900038,-0.05192475989106604,-0.026559165952093622,-7.668976000553208,-7.66491835103357,-7.703869077806556,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
15,0.00666425,4.781887585,356,0.5790007677956335,0.5790007677956335,-0.060693960350953646,-0.05192476221332498,-0.026559170234538798,-7.668976000553208,-7.66491835103357,-7.703869077806556,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
16,0.006924042,4.788811626999999,360,0.5765196257900719,0.5765196257900719,-0.0630632109465128,-0.054051255329609305,-0.027281085479944456,-7.659983387211376,-7.657866711673543,-7.701130195873901,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
17,0.006922708,4.795734335,362,0.5765196264096438,0.5765196264096438,-0.06306321092022749,-0.054051257748628956,-0.027281088626230687,-7.659983387211376,-7.657866711673543,-7.701130195873901,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
18,0.0071935,4.802927834999999,364,0.576519624763433,0.576519624763433,-0.06306322112419771,-0.0540512670376645,-0.027281097628105266,-7.659983387211376,-7.657866711673543,-7.701130195873901,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
19,0.007515958,4.810443792999999,366,0.5765210877070509,0.5765210877070509,-0.06305961633642776,-0.05404817857848554,-0.027279259956602964,-7.659983378230806,-7.6578641386275415,-7.701124673202955,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
20,0.071503458,4.881947250999999,368,0.5765218821076433,0.5765218821076433,-0.06305741927862518,-0.05404625746563074,-0.02727896853184053,-7.6599833797148555,-7.657865247745385,-7.701118823872291,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
21,0.006917958,4.888865208999999,370,0.5765206483029762,0.5765206483029762,-0.06305995573541068,-0.05404995319550876,-0.027280551660046726,-7.659983371490287,-7.6578595519027965,-7.701123584263852,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
22,0.022804,4.9116692089999985,381,0.5765935997246039,0.5765935997246039,-0.06328317253441695,-0.05601232954273172,-0.02672795732607225,-7.65700362387198,-7.652510130951571,-7.7021298812182994,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
23,0.022410667,4.934079875999998,383,0.5765935988903682,0.5765935988903682,-0.06328317368045788,-0.05601232954273172,-0.026727957151278514,-7.65700362387198,-7.652510130951571,-7.7021298812182994,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
24,0.022888708,4.956968583999998,386,0.5765930790128568,0.5765930790128568,-0.06328459858395441,-0.056010704203412476,-0.026736388542910605,-7.6570036201574885,-7.652519612904067,-7.702103686283763,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
25,0.007616334,4.964584917999998,388,0.5765952105294031,0.5765952105294031,-0.0632807943758551,-0.05600608696008458,-0.02673435119147849,-7.657003610325252,-7.652520814061648,-7.702094780412212,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
26,0.104832958,5.069417875999998,389,0.5756427622915224,0.5756427622915224,-0.061528894696044834,-0.05441576235803103,-0.025025192219441772,-7.65558797320061,-7.651455116711119,-7.699551543772041,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
27,0.016652584,5.086070459999998,389,0.5756427622915224,0.5756427622915224,-0.061528894696044834,-0.05441576235803103,-0.025025192219441772,-7.65558797320061,-7.651455116711119,-7.699551543772041,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
28,0.015598333,5.101668792999998,391,0.5756153532238518,0.5756153532238518,-0.06153834124893853,-0.05446542959741374,-0.025084520362465113,-7.655580685113886,-7.651333473274332,-7.6994903878614975,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
29,0.007255667,5.108924459999998,393,0.5756186791406609,0.5756186791406609,-0.061532835752213466,-0.054459368743619674,-0.02508030859950683,-7.655580678480462,-7.651334118771643,-7.699488144073161,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
30,0.007258584,5.116183043999998,398,0.577406548534086,0.577406548534086,-0.06088617624219683,-0.05301981328015393,-0.02413804457416957,-7.6538603033675425,-7.647013473381339,-7.695009578516078,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
31,0.00753225,5.1237152939999975,400,0.5774086082982521,0.5774086082982521,-0.060891125480598496,-0.053024711214429754,-0.024140241839969434,-7.653860299909645,-7.647008607903464,-7.695008113471225,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
32,0.007129875,5.130845168999998,402,0.5774086082982521,0.5774086082982521,-0.060891125480598496,-0.053024711214429754,-0.024140241839969434,-7.653860299909645,-7.647008607903464,-7.695008113471225,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
33,0.007349792,5.138194960999998,410,0.577606312236825,0.577606312236825,-0.06061896384106735,-0.05325911169410369,-0.02251647818987601,-7.65231502187404,-7.6431917268432255,-7.696122283199126,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
34,0.007370375,5.145565335999998,412,0.577606314723823,0.577606314723823,-0.060618960141828104,-0.053259104191054285,-0.02251647352740571,-7.65231502187404,-7.6431917268432255,-7.696122283199126,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
35,0.007556416,5.153121751999998,414,0.5776063153365267,0.5776063153365267,-0.06061895384055549,-0.0532591022234713,-0.0225164738085597,-7.65231502187404,-7.6431917268432255,-7.696122283199126,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
36,0.007960833,5.161082584999998,416,0.577606922847398,0.577606922847398,-0.06062283576505956,-0.0532623627772465,-0.022514461803284758,-7.652315007139535,-7.64319428456602,-7.69613162387952,true,,0.592581162819405,0.0,0.300148129860511,0.0,0.0,0.0,0.0
