iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,9.65e-5,9.65e-5,1405,0.5586691650854938,0.5586691650854938,-0.0623337203420532,-0.06092199571641921,-0.030408351832305502,-7.573994,-7.585581,-7.6527467,false,,0.592581162819405,0.592581162819405,0.300148129860511,1.0,1.0,0.0,0.0
1,0.99331525,0.99341175,1405,0.5585556320554371,0.5586691526798047,-0.0623338109722148,-0.06092209570370144,-0.03040843180942332,-7.5738807,-7.5854454,-7.6526613,false,,0.592562204662326,0.5925811830546694,0.30014813389278716,0.9995425434573736,0.9998651927800694,0.00037313431979394334,0.0002548420240052934
2,0.306317875,1.299729625,1405,0.5583678212716313,0.5587752520144235,-0.0623951110610933,-0.06100527386334209,-0.030434147776524312,-7.573586,-7.5852056,-7.6524777,false,,0.5925171943345501,0.5926659758409262,0.3001481059451587,0.9983288959683536,0.9997380017630685,0.0006888901551260844,0.0006066304578092834
3,0.269419375,1.5691490000000001,1405,0.5578682585025933,0.5590160096043885,-0.06236329783905559,-0.06096122532635617,-0.03030059123030615,-7.572851,-7.5846357,-7.6520424,false,,0.5923969381254757,0.5929887747340652,0.30014815716999454,0.9951606244681414,0.9996177918189272,0.0009591884999194634,0.0010915916526237988
4,0.28887575,1.8580247500000002,1405,0.5566804791901818,0.5596076201563526,-0.062122878444662244,-0.06063549078947128,-0.029792265432379894,-7.571117,-7.5833397,-7.6510854,false,,0.5920916783910426,0.5939268061332343,0.30014812544857394,0.9872404230441276,0.9995035188676742,0.0012012493855556095,0.0017573674311206562
5,0.2695165,2.12754125,1405,0.5543083142739476,0.5610715132664503,-0.06134722411276117,-0.05962144767028077,-0.028359778703356153,-7.5675626,-7.5808196,-7.649342,false,,0.5914277000852814,0.5962374016800338,0.30014811878960423,0.9693566014773609,0.9993930153207935,0.0014475000131556138,0.00266155943943478
6,0.269618,2.39715925,1405,0.5508123788674394,0.5644201232106137,-0.059261786258968385,-0.057028245460310156,-0.024874626916409626,-7.561965,-7.577114,-7.6471205,false,,0.5903563858912042,0.6008561235331911,0.30014813024378684,0.936306570130361,0.9992814327285022,0.001763547893651293,0.0038590582182619153
7,0.269351167,2.666510417,1405,0.5474000807335813,0.5707282762543066,-0.05490560525716015,-0.051839005477005484,-0.018211145642860305,-7.555814,-7.573389,-7.6455774,false,,0.5892858435208178,0.6077739486993634,0.30014814562509795,0.8910701050444421,0.999159265449743,0.0022646400986550317,0.0053702325522651945
8,0.2707395,2.937249917,1405,0.5451533936775846,0.579837128146548,-0.048524913972596284,-0.04444382688263471,-0.009125427583215329,-7.5509896,-7.5707364,-7.6453447,false,,0.5887480239373373,0.6153459830086385,0.30014814111592963,0.8459268034318266,0.9990129412845963,0.0031006226998524524,0.007153335313347013
9,0.269371667,3.206621584,1405,0.5440139476637447,0.5902450898998669,-0.041746689950619253,-0.0367293083154957,-0.00010805108442013545,-7.5479097,-7.5691586,-7.6458273,false,,0.5887518742187896,0.6217947534340176,0.30014810689836086,0.8100484102971972,0.9988294546220586,0.004404964449911526,0.009132359818669689
10,0.269504333,3.476125917,1405,0.543493001798052,0.6004429545527584,-0.03591866869658322,-0.03021644695043757,0.0070660665121599076,-7.5460773,-7.56821,-7.646384,false,,0.5890048202491722,0.6264773261025472,0.3001481322671766,0.7846040386969589,0.9985993849585879,0.00626133150834404,0.011253583192393623
11,0.278235333,3.75436125,1405,0.5432447668393533,0.6095950629198037,-0.03147455092212592,-0.025365555742707824,0.012084723576331613,-7.544974,-7.5675607,-7.6468215,false,,0.5892922725860563,0.6295482876149855,0.30014813060175627,0.7672455552399516,0.9983157156342521,0.00868356468504643,0.013504868367084045
12,0.276191208,4.030552458,1405,0.5431063391217273,0.6173740354683418,-0.02832085729772249,-0.02203520315002372,0.015335319171663087,-7.544274,-7.5670433,-7.647125,false,,0.5895279870625969,0.6313801110837323,0.30014813222852443,0.7554612297189551,0.9979719024699572,0.011594688171167229,0.015904916962675826
13,0.269678083,4.3002305409999995,1405,0.5430118308273177,0.6237515229701648,-0.026195801598568713,-0.01989754002500599,0.017318321574553597,-7.5437894,-7.566584,-7.6473117,false,,0.5896956420319747,0.6323191585869701,0.3001481237189793,0.7474079780411684,0.9975608336355147,0.014836547372244144,0.01848980289272744
14,0.2698205,4.570051040999999,1405,0.5429357365959434,0.6288492939021058,-0.02482606108884655,-0.01861820242870904,0.01845312768494456,-7.543425,-7.5661545,-7.6473975,false,,0.5898061326801682,0.63263256507443,0.3001481353302921,0.7418590864708859,0.9970743461202054,0.01821233614119685,0.021304388136055417
15,0.269764375,4.8398154159999995,1405,0.5428675449745891,0.6328697943817347,-0.023975892461616244,-0.017914073161318544,0.01905314883252307,-7.5431237,-7.5657434,-7.647405,false,,0.589877624648272,0.6325124310708652,0.3001481401497976,0.7380163318315718,0.9965028814183492,0.02153580611471122,0.024397657618790185
16,0.270059,5.109874415999999,1405,0.5428021913978824,0.6360183015279001,-0.023460752688179598,-0.01756776184258768,0.01933949922150091,-7.542852,-7.565338,-7.647343,false,,0.5899272905504246,0.6320913113234541,0.3001481407052674,0.7353561280033657,0.9958351710521715,0.024664882449919927,0.027820291402024317
17,0.2698285,5.379702915999999,1405,0.5427365037125884,0.6384807769836044,-0.023143699788247152,-0.017421719162659,0.019463736261407294,-7.5425916,-7.564935,-7.647224,false,,0.5899688324093891,0.6314572428148069,0.30014814547305957,0.7335295017274007,0.9950579159539545,0.02751341505085367,0.03162353194517378
18,0.280416708,5.660119623999999,1405,0.5426680028402947,0.6404105521894385,-0.022928091108788573,-0.017367425225414457,0.019526084398091892,-7.5423274,-7.564525,-7.6470523,false,,0.5900120968779821,0.6306662454278333,0.3001481179646801,0.7322991174558195,0.9941555055909604,0.03004587660222651,0.03585863957995878
